chapter,chapter_name,section,section_name,article,article_name,url
Chapter 1,General provisions,,,Article 1,Subject matter,https://ai-act-law.eu/article/1/
Chapter 1,General provisions,,,Article 2,Scope,https://ai-act-law.eu/article/2/
Chapter 1,General provisions,,,Article 3,Definitions,https://ai-act-law.eu/article/3/
Chapter 1,General provisions,,,Article 4,AI literacy,https://ai-act-law.eu/article/4/
Chapter 2,Prohibited AI practices,,,Article 5,Prohibited AI practices,https://ai-act-law.eu/article/5/
Chapter 3,High-risk AI systems,Section 1,Classification of AI systems as high-risk,Article 6,Classification rules for high-risk AI systems,https://ai-act-law.eu/article/6/
Chapter 3,High-risk AI systems,Section 1,Classification of AI systems as high-risk,Article 7,Amendments to Annex III,https://ai-act-law.eu/article/7/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 8,Compliance with the requirements,https://ai-act-law.eu/article/8/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 9,Risk management system,https://ai-act-law.eu/article/9/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 10,Data and data governance,https://ai-act-law.eu/article/10/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 11,Technical documentation,https://ai-act-law.eu/article/11/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 12,Record-keeping,https://ai-act-law.eu/article/12/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 13,Transparency and provision of information to deployers,https://ai-act-law.eu/article/13/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 14,Human oversight,https://ai-act-law.eu/article/14/
Chapter 3,High-risk AI systems,Section 2,Requirements for high-risk AI systems,Article 15,"Accuracy, robustness and cybersecurity",https://ai-act-law.eu/article/15/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 16,Obligations of providers of high-risk AI systems,https://ai-act-law.eu/article/16/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 17,Quality management system,https://ai-act-law.eu/article/17/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 18,Documentation keeping,https://ai-act-law.eu/article/18/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 19,Automatically generated logs,https://ai-act-law.eu/article/19/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 20,Corrective actions and duty of information,https://ai-act-law.eu/article/20/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 21,Cooperation with competent authorities,https://ai-act-law.eu/article/21/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 22,Authorised representatives of providers of high-risk AI systems,https://ai-act-law.eu/article/22/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 23,Obligations of importers,https://ai-act-law.eu/article/23/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 24,Obligations of distributors,https://ai-act-law.eu/article/24/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 25,Responsibilities along the AI value chain,https://ai-act-law.eu/article/25/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 26,Obligations of deployers of high-risk AI systems,https://ai-act-law.eu/article/26/
Chapter 3,High-risk AI systems,Section 3,Obligations of providers and deployers of high-risk AI systems and other parties,Article 27,Fundamental rights impact assessment for high-risk AI systems,https://ai-act-law.eu/article/27/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 28,Notifying authorities,https://ai-act-law.eu/article/28/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 29,Application of a conformity assessment body for notification,https://ai-act-law.eu/article/29/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 30,Notification procedure,https://ai-act-law.eu/article/30/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 31,Requirements relating to notified bodies,https://ai-act-law.eu/article/31/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 32,Presumption of conformity with requirements relating to notified bodies,https://ai-act-law.eu/article/32/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 33,Subsidiaries of notified bodies and subcontracting,https://ai-act-law.eu/article/33/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 34,Operational obligations of notified bodies,https://ai-act-law.eu/article/34/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 35,Identification numbers and lists of notified bodies,https://ai-act-law.eu/article/35/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 36,Changes to notifications,https://ai-act-law.eu/article/36/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 37,Challenge to the competence of notified bodies,https://ai-act-law.eu/article/37/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 38,Coordination of notified bodies,https://ai-act-law.eu/article/38/
Chapter 3,High-risk AI systems,Section 4,Notifying authorities and notified bodies,Article 39,Conformity assessment bodies of third countries,https://ai-act-law.eu/article/39/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 40,Harmonised standards and standardisation deliverables,https://ai-act-law.eu/article/40/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 41,Common specifications,https://ai-act-law.eu/article/41/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 42,Presumption of conformity with certain requirements,https://ai-act-law.eu/article/42/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 43,Conformity assessment,https://ai-act-law.eu/article/43/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 44,Certificates,https://ai-act-law.eu/article/44/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 45,Information obligations of notified bodies,https://ai-act-law.eu/article/45/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 46,Derogation from conformity assessment procedure,https://ai-act-law.eu/article/46/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 47,EU declaration of conformity,https://ai-act-law.eu/article/47/
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 48,CE marking,https://ai-act-law.eu/article/48/
