chapter,chapter_name,section,section_name,article,article_name,url
Chapter 1,General provisions,,,Article 1,Subject-matter and objectives,https://gdpr-info.eu/art-1-gdpr/
Chapter 1,General provisions,,,Article 2,Material scope,https://gdpr-info.eu/art-2-gdpr/
Chapter 1,General provisions,,,Article 3,Territorial scope,https://gdpr-info.eu/art-3-gdpr/
Chapter 1,General provisions,,,Article 4,Definitions,https://gdpr-info.eu/art-4-gdpr/
Chapter 2,Principles,,,Article 5,Principles relating to processing of personal data,https://gdpr-info.eu/art-5-gdpr/
Chapter 2,Principles,,,Article 6,Lawfulness of processing,https://gdpr-info.eu/art-6-gdpr/
Chapter 2,Principles,,,Article 7,Conditions for consent,https://gdpr-info.eu/art-7-gdpr/
Chapter 2,Principles,,,Article 8,Conditions applicable to child’s consent in relation to information society services,https://gdpr-info.eu/art-8-gdpr/
Chapter 2,Principles,,,Article 9,Processing of special categories of personal data,https://gdpr-info.eu/art-9-gdpr/
Chapter 2,Principles,,,Article 10,Processing of personal data relating to criminal convictions and offences,https://gdpr-info.eu/art-10-gdpr/
Chapter 2,Principles,,,Article 11,Processing which does not require identification,https://gdpr-info.eu/art-11-gdpr/
Chapter 3,Rights of the data subject,Section 1,Transparency and modalities,Article 12,"Transparent information, communication and modalities for the exercise of the rights of the data subject",https://gdpr-info.eu/art-12-gdpr/
Chapter 3,Rights of the data subject,Section 2,Information and access to personal data,Article 13,Information to be provided where personal data are collected from the data subject,https://gdpr-info.eu/art-13-gdpr/
Chapter 3,Rights of the data subject,Section 2,Information and access to personal data,Article 14,Information to be provided where personal data have not been obtained from the data subject,https://gdpr-info.eu/art-14-gdpr/
Chapter 3,Rights of the data subject,Section 2,Information and access to personal data,Article 15,Right of access by the data subject,https://gdpr-info.eu/art-15-gdpr/
Chapter 3,Rights of the data subject,Section 3,Rectification and erasure,Article 16,Right to rectification,https://gdpr-info.eu/art-16-gdpr/
Chapter 3,Rights of the data subject,Section 3,Rectification and erasure,Article 17,Right to erasure (‘right to be forgotten’),https://gdpr-info.eu/art-17-gdpr/
Chapter 3,Rights of the data subject,Section 3,Rectification and erasure,Article 18,Right to restriction of processing,https://gdpr-info.eu/art-18-gdpr/
